Cases,Date,State,County, ,Reference
NO.46496-46504,2020/3/23,IN,St. Joseph,Seven additional individuals in St. Joseph County have tested positive for SARS-CoV-2. the virus that causes COVID-19 infection. bringing the county s total number of confirmed cases to 17 (8 females. 9 males). [Note]It is report by St. Joseph County Department of Health. may not including in IN total.,www.wndu.com 
NO.46505,2020/3/23,MO,Adair,As of 3/23 MO state official publish. Adair County total 2 cases.,health.mo.gov 
NO.46506,2020/3/23,FL,Osceola,3/23 Osceola County reported 1 more cases. and there are in total 25 cases in the county.,fdoh.maps.arcgis.com 
NO.46507,2020/3/23,FL,Pasco,3/23 Pasco County reported 1 more cases. and there are in total 14 cases in the county.,fdoh.maps.arcgis.com 
NO.46508,2020/3/23,FL,Pinellas,3/23 Pinellas County reported 1 more cases. and there are in total 41 cases in the county.,fdoh.maps.arcgis.com 
NO.46509-46510,2020/3/23,WA,Benton,By 3/22. 2 new cases were confirmed in Benton County and 9 cases in total.,bfhd.wa.gov 
NO.46511,2020/3/23,FL,Santa Rosa,3/23 Santa Rosa County reported 1 more cases. and there are in total 4 cases in the county.,fdoh.maps.arcgis.com 
NO.46512-46513,2020/3/23,WA,Franklin,By 3/22. 2 new cases were confirmed in Franklin County and 5 cases in total.,bfhd.wa.gov 
NO.46514-46516,2020/3/23,CA,Riverside,As of 3/23 2 30 PM. 46 cases got confirmed in Riverside County. [The number of 48 from official site includes two cases who got confirmed on the cruise. we listed the number under Diamond Princess ],www.rivcoph.org 
NO.46517-46519,2020/3/23,FL,Seminole,3/23 Seminole County reported 3 more cases. and there are in total 22 cases in the county.,fdoh.maps.arcgis.com 
NO.46520-46521,2020/3/23,FL,St. Lucie,3/23 St. Lucie County total 5 cases. residents 5. non-residents 0.,fdoh.maps.arcgis.com 
NO.46522,2020/3/23,FL,Volusia,3/23 Volusia County reported 1 more cases. and there are in total 16 cases in the county.,fdoh.maps.arcgis.com 
NO.46523-46526,2020/3/23,FL,Walton,3/23 Walton County reported 4 more cases. and there are in total 9 cases in the county.,fdoh.maps.arcgis.com 
NO.46527-46656,2020/3/23,WA,King,WA State King County has in total 1170 cases of CODIV-19 confirmed by 3/23. with 130 new cases added.,www.doh.wa.gov 
NO.46657,2020/3/23,WA,Adams,The first case was confirmed in Adams County.,www.doh.wa.gov 
NO.46658-46676,2020/3/23,WA,Pierce,By 3/23. Health department confirmed 19 new cases in Pierce County and 126 cases in total.,www.tpchd.org 
NO.46677,2020/3/23,AZ,Yuma,3/23 Yuma County confirmed the 2nd case in the county.,kyma.com 
NO.46678,2020/3/23,MO,Callaway,3/23 MO Callaway County total 1 case.,www.kansascity.com 
NO.46679,2020/3/23,NY,Monroe,3/23 Monroe County reported 1 new case. adding the total confirmed cases in the county to 81.,www2.monroecounty.gov 
NO.46680-46695,2020/3/23,CA,Alameda,3/23 Alameda County has a total of 122 cases. (Numbers of 112 from Alameda County Public Health Department exclude 10 cases from City of Berkeley. but they are included here.),www.acphd.org 
NO.46696,2020/3/23,WA,Douglas,The first case was confirmed in Douglas County.,cdhd.wa.gov 
NO.46697-46699,2020/3/23,WA,Chelan,WA State Chelan County has in total 6 cases of CODIV-19 confirmed by 3/23. with 3 new cases added.,www.doh.wa.gov 
NO.46700-46702,2020/3/23,AR,Pulaski,3/23 Pulaski County. AR confirmed 3 more cases.,adem.maps.arcgis.com 
NO.46703,2020/3/23,AR,Jefferson,3/23 Jefferson County. AR confirmed 1 more case.,adem.maps.arcgis.com 
NO.46704-46705,2020/3/23,AR,Cleburne,3/23 Cleburne County. AR confirmed 2 more cases.,adem.maps.arcgis.com 
NO.46706-46709,2020/3/23,AR,Faulkner,3/23 Faulkner County. AR confirmed 4 more cases.,adem.maps.arcgis.com 
NO.46710-46713,2020/3/23,AR,Clark,3/23 Clark County. AR confirmed 4 more cases and 6 cases in total.,adem.maps.arcgis.com 
NO.46714-46716,2020/3/23,WA,Clark,WA State Clark County has in total 13 cases of CODIV-19 confirmed by 3/23. with 3 new cases added.,www.doh.wa.gov 
NO.46717-46718,2020/3/23,CA,Sonoma,3/23.29 cases have been confirmed in Sonoma County. including 1 death and 1 recovery.,norcalpublicmedia.org 
NO.46719-46722,2020/3/23,WA,Island,WA State Island County has in total 25 cases of CODIV-19 confirmed by 3/23. with 4 new cases added.,www.doh.wa.gov 
NO.46723,2020/3/23,NM,Bernalillo,The governor announced 18 new cases of COVID-19 in New Mexico. Bernalillo County 4,www.kob.com 
NO.46724,2020/3/23,NM,Bernalillo,The governor announced 18 new cases of COVID-19 in New Mexico. Bernalillo County 4,www.kob.com 
NO.46725,2020/3/23,NM,Bernalillo,The governor announced 18 new cases of COVID-19 in New Mexico. Bernalillo County 4,www.kob.com 
NO.46726,2020/3/23,NM,Bernalillo,The governor announced 18 new cases of COVID-19 in New Mexico. Bernalillo County 4,www.kob.com 
NO.46727-46749,2020/3/23,CO,Denver,3/23 CO total 720. Denver County total 148.,covid19.colorado.gov 
NO.46750,2020/3/23,AR,White,3/22 White County. AR confirmed at least 1 case.,adem.maps.arcgis.com 
NO.46751,2020/3/23,AR,Stone,3/22 Stone County. AR confirmed at least 1 case.,adem.maps.arcgis.com 
NO.46752,2020/3/23,NM,Dona Ana,The governor announced 18 new cases of COVID-19 in New Mexico. Doña Ana County 6,www.kob.com 
NO.46753,2020/3/23,NM,Dona Ana,The governor announced 18 new cases of COVID-19 in New Mexico. Doña Ana County 6,www.kob.com 
NO.46754,2020/3/23,NM,Dona Ana,The governor announced 18 new cases of COVID-19 in New Mexico. Doña Ana County 6,www.kob.com 
NO.46755,2020/3/23,NM,Dona Ana,The governor announced 18 new cases of COVID-19 in New Mexico. Doña Ana County 6,www.kob.com 
NO.46756,2020/3/23,NM,Dona Ana,The governor announced 18 new cases of COVID-19 in New Mexico. Doña Ana County 6,www.kob.com 
NO.46757,2020/3/23,NM,Dona Ana,The governor announced 18 new cases of COVID-19 in New Mexico. Doña Ana County 6,www.kob.com 
NO.46758-46769,2020/3/23,CO,Eagle,3/23 CO total 720. Eagle County total 92.,covid19.colorado.gov 
NO.46770-46779,2020/3/23,CA,Contra Costa,10 new cases are confirmed in Contra Costa County. which brings the total to 71.,www.coronavirus.cchealth.org 
NO.46780,2020/3/23,NM,San Juan,The governor announced 18 new cases of COVID-19 in New Mexico. San Juan County 2,www.kob.com 
NO.46781,2020/3/23,NM,San Juan,The governor announced 18 new cases of COVID-19 in New Mexico. San Juan County 2,www.kob.com 
NO.46782-46799,2020/3/23,CO,El Paso,3/23 CO total 720. El Paso County total 92.,covid19.colorado.gov 
NO.46800,2020/3/23,NM,Santa Fe,The governor announced 18 new cases of COVID-19 in New Mexico. Santa Fe County 2,www.kob.com 
NO.46801,2020/3/23,NM,Santa Fe,The governor announced 18 new cases of COVID-19 in New Mexico. Santa Fe County 2,www.kob.com 
NO.46802,2020/3/23,AR,Crawford,3/23 Crawford County. AR confirmed at least one case.,adem.maps.arcgis.com 
NO.46803,2020/3/23,NM,Chaves,The governor announced 18 new cases of COVID-19 in New Mexico. Chaves County 4,www.kob.com 
NO.46804,2020/3/23,NM,Chaves,The governor announced 18 new cases of COVID-19 in New Mexico. Chaves County 4,www.kob.com 
NO.46805,2020/3/23,NM,Chaves,The governor announced 18 new cases of COVID-19 in New Mexico. Chaves County 4,www.kob.com 
NO.46806,2020/3/23,NM,Chaves,The governor announced 18 new cases of COVID-19 in New Mexico. Chaves County 4,www.kob.com 
NO.46807,2020/3/23,NC,Northampton,The Northampton County Health Department said that the county had its first case of COVID-19 on 3/23 .,www.13newsnow.com 
NO.46808-46811,2020/3/23,CO,Jefferson,3/23 CO total 720 cases. Jefferson County total 55.,covid19.colorado.gov 
NO.46812-46813,2020/3/23,NC,Rowan,According to the Rowan County Health Department. there are now four cases of COVID-19 in Rowan County.,www.wbtv.com 
NO.46814-46826,2020/3/23,CO,Arapahoe,3/23 CO total 720 cases. Arapahoe County total 58.,covid19.colorado.gov 
NO.46827-46839,2020/3/23,CO,Weld,3/23 CO total 720 cases. Weld County total 50.,covid19.colorado.gov 
NO.46840-46841,2020/3/23,CO,Boulder,3/23 CO total 720 cases. Boulder County total 39.,covid19.colorado.gov 
NO.46842-46844,2020/3/23,TX,Jefferson,Today. March 23. 2020 the Beaumont Public Health Department (BPHD) received confirmations of 3 positive cases of Coronavirus Disease 2019 (COVID-19) in Beaumont residents bringing the current number to 6. These individuals are currently quarantined at home and are cooperating with the direction of the health department.,beaumonttexas.gov 
NO.46845-46859,2020/3/23,CO,Douglas,3/23 CO total 720 cases. Douglas County total 48.,covid19.colorado.gov 
NO.46860,2020/3/23,NC,Brunswick,A eighth person has tested positive for coronavirus in Brunswick County. according to officials. The eighth case was identified Monday afternoon. No further information about the case will be released to protect the privacy of the individual.,www.wect.com 
NO.46861-46862,2020/3/23,CO,Larimer,3/23 CO total 720 cases. Larimer County total 34.,covid19.colorado.gov 
NO.46863-46868,2020/3/23,CO,Gunnison,3/23 CO total 720 cases. Gunnison County total 28.,covid19.colorado.gov 
NO.46869-46879,2020/3/23,USVI,Unassigned,Health Department Announces Eleven Additional Confirmed COVID-19 Cases,doh.vi.gov 
NO.46880,2020/3/23,NE,Gage,Gage County has its first presumed positive case of COVID-19. officials said Monday afternoon.,www.1011now.com 
NO.46881-46887,2020/3/23,CO,Adams,3/23 CO total 720 cases. Adams County total 25.,covid19.colorado.gov 
NO.46888-46892,2020/3/23,NC,New Hanover,New Hanover County Public Health officials have identified five additional positive case of the novel coronavirus. COVID-19. in New Hanover County – bringing the county s total confirmed case count to nine. Four of the cases appear to be travel related. The fifth case was reported late in the day on Monday and information is still being gathered to determine the person s travel history and symptom onset.,www.wwaytv3.com 
NO.46893-46922,2020/3/23,NC,Durham,Durham County reported 30 more positive tests for COVID-19 on Monday. bringing the county s total to 71.,www.newsobserver.com 
NO.46923-46924,2020/3/23,CO,Pitkin,3/23 CO total 720 cases. Pitkin County total 18.,covid19.colorado.gov 
NO.46925,2020/3/23,CO,Summit,3/23 CO total 720 cases. Summit County total 8.,covid19.colorado.gov 
NO.46926-46927,2020/3/23,GA,Colquitt,2 cases of coronavirus confirmed in Colquitt County. (Note  these two cases have been clearly reported in the news-link. but have not been counted in according to the latest update of GA Health website. We ll keep investigating later.),www.moultrieobserver.com 
NO.46928,2020/3/23,CO,Morgan,3/23 CO total 720 cases. Morgan County total 30.,covid19.colorado.gov 
NO.46929,2020/3/23,CO,Broomfield,3/23 CO total 720 cases. Broomfield County total 2.,covid19.colorado.gov 
NO.46930-46934,2020/3/23,AR,Unassigned,5 cases of coronavirus confirmed in Arkansas.,adem.maps.arcgis.com 
NO.46935-46938,2020/3/23,CO,Unassigned,3/23 CO total 720 cases. including 5 cases unknown county.,covid19.colorado.gov 
NO.46939-46942,2020/3/23,CA,Los Angeles,3/23 four additional cases are reported in Long Beach. LA County.,publichealth.lacounty.gov 
NO.46943-46944,2020/3/23,NC,Cumberland,3/23 two more cases confirmed in Cumberland County. which moves the county s COVID-19 cases to five. Cape Fear Valley Medical Center has its first confirmed coronavirus case. and Fort Bragg confirmed its fifth on Monday evening.,www.fayobserver.com 
NO.46945,2020/3/23,NY,Steuben,The Steuben County Public Health Department tells 18 News that it has received notification this morning that a fifth Steuben County resident from the Town of Corning has tested positive for COVID-19.,www.mytwintiers.com 
NO.46946,2020/3/23,MT,Yellowstone,Yellowstone County added one new case. bringing its total to 7.,www.ktvq.com 
NO.46947,2020/3/23,WA,Kittitas,WA State Kitsap County has in total 5 cases of CODIV-19 confirmed by 3/23. with 1 new cases added.,www.doh.wa.gov 
NO.46948-46953,2020/3/23,MT,Gallatin,Gallatin County continues to see the most cases. jumping from 10 to 16. Gallatin  6 new cases. female age 10-19. male age 10-19. male in his 30s. female in her 40s. male in his 50s. male in his 60s,www.ktvq.com 
NO.46954-46955,2020/3/23,MT,Flathead,Four cases are now confirmed in Flathead County. up from two. Flathead  2 new cases. female in her 30s. male in his 50s,www.ktvq.com 
NO.46956-46958,2020/3/23,MT,Missoula,Missoula County stands at 6 cases. Missoula  2 new cases. male in his 60s. female in her 60s,www.ktvq.com 
NO.46959,2020/3/23,GA,Pickens,As of 3/23. 3 cases in Pickens County. GA.,dph.georgia.gov 
NO.46960,2020/3/23,GA,Liberty,The first confirmed cases of COVID-19 have been reported in Camden and Liberty counties today. Both counties now have 1 confirmed case each. and both residents are recovering at home. according to a press release issued by the Coastal Health District today.,coastalcourier.com 
NO.46961,2020/3/23,GA,Harris,Pam Kirkland with the West Central Health District of the Georgia Department of Public Health has confirmed that one case in Harris County has confirmed to be positive,www.wtvm.com 
NO.46962,2020/3/23,GA,Burke,As of 3/23. 1 cases in Burke County. GA.,dph.georgia.gov 
NO.46963-46971,2020/3/23,WA,Spokane,WA State Spokane County has in total 29 cases of CODIV-19 confirmed by 3/23. with 9 new cases added.,www.doh.wa.gov 
NO.46972-46980,2020/3/23,WA,Yakima,WA State Yakima County has in total 25 cases of CODIV-19 confirmed by 3/23. with 9 new cases added.,www.doh.wa.gov 
NO.46981-46983,2020/3/23,CO,Teller,3/23 CO total 720 cases. Teller County total 3.,covid19.colorado.gov 
NO.46984,2020/3/23,GA,Camden,The first confirmed cases of COVID-19 have been reported in Camden and Liberty counties today. Both counties now have 1 confirmed case each. and both residents are recovering at home. according to a press release issued by the Coastal Health District today. (Note  this case has been clearly reported in the news-link. but has not been counted in according to the latest update of GA Health website. We ll keep investigating later.),coastalcourier.com 
NO.46985-46994,2020/3/23,CA,San Joaquin,3/23. 10 new cases in San Joaquin County. CA,www.sjcphs.org 
NO.46995-46999,2020/3/23,CA,Ventura,5 new cases have been confirmed in Ventura County. which brings the total to 35.,keyt.com 
NO.47000,2020/3/23,WA,Skagit,WA State Skagit County has in total 33 cases of CODIV-19 confirmed by 3/22.,www.doh.wa.gov 
NO.47001-47006,2020/3/23,CA,San Luis Obispo,San Luis Obispo County Health officials announced 33 coronavirus cases in the county.,www.ksby.com 
NO.47007-47014,2020/3/23,CA,Placer,3/23 Placer county has 20 confirmed cases.,www.placer.ca.gov 
NO.47015,2020/3/23,CA,Amador,As of 3/23. 2 confirmed cases has been announced by Amador County.,www.amadorgov.org 
NO.47016-47023,2020/3/23,MO,Kansas City,As of 3/23 according to news. Kansas City adds another 8 cases. total 25 cases.,www.kshb.com 
NO.47024-47030,2020/3/23,CA,Solano,As of 3/23. there are 21 cases has been confirmed in Solano County.,www.solanocounty.com 
NO.47031-47032,2020/3/23,CA,Stanislaus,There are 10 confirmed coronavirus cases in Stanislaus County by 3/23 4 30PM.,www.schsa.org 
NO.47033-47035,2020/3/23,CA,Madera,By 3/23. There are 6 total confirmed cases in Madera County and one of them recovered.,kmph.com 
NO.47036-47042,2020/3/23,TX,Travis,3/23 7 new cases in Travis County.,www.austintexas.gov 
NO.47043,2020/3/23,CA,Nevada,one more case got confirmed in Nevada County. total 3.,www.theunion.com 
NO.47044-47057,2020/3/23,NC,Wake,3/23 5pm 66 total cases in Wake County. NC,www.wakegov.com 
NO.47058-47069,2020/3/23,HI,Honolulu,3/23 12 cases for Oahu island.,www.hawaiinewsnow.com 
NO.47070-47071,2020/3/23,HI,Maui,3/23 2 cases for Maui island.,www.hawaiinewsnow.com 
NO.47072-47073,2020/3/23,HI,Hawaii,3/23 2 cases for Hawaii island.,www.hawaiinewsnow.com 
NO.47074-47078,2020/3/23,HI,Unassigned,3/23 5 cases unassigned. Hawaii has 77 cases in total.,www.hawaiinewsnow.com 
NO.47079-47097,2020/3/23,CA,Santa Clara,19 new cases of COVID-19 in Santa Clara County. This brings the total number of cases to 321.,www.sccgov.org 
NO.47098-47099,2020/3/23,ND,Burleigh,3/23 Gov. Doug Burgum says North Dakota has added 2 more positive cases. bringing the total number to 33. 4 people are in hospitals.,kfgo.com 
NO.47100-47124,2020/3/23,CA,San Diego,25 new cases have been confirmed to San Diego. which brings the total to 226 [The number of 230 from official site includes 2 Wuhan evacuees. 1 from Grand Princess and 1 from Diamond Princess. which has been recorded under these categories].,www.sandiegocounty.gov 
NO.47125-47128,2020/3/23,NY,Broome,Broome County. NY reported 7 total cases by 3/23 afternoon.,coronavirus.health.ny.gov 
NO.47129-47149,2020/3/23,DC,District of Columbia,As of 7 pm on Monday. March 23. the Distinct s coronavirus(COVID-19) data includes 21 new positive cases.,coronavirus.dc.gov 
NO.47150,2020/3/23,WY,Carbon,Total reported positive cases  28,trib.com 
NO.47151,2020/3/23,NY,Chenango,Chenango County. NY reported 3 total cases by 3/23 afternoon.,coronavirus.health.ny.gov 
NO.47152,2020/3/23,WY,Laramie,Total reported positive cases  28,oilcity.news 
NO.47153-47154,2020/3/23,NY,Clinton,Clinton County. NY reported 6 total cases by 3/23 afternoon.,coronavirus.health.ny.gov 
NO.47155-47156,2020/3/23,NY,Delaware,Delaware County. NY reported 3 total cases by 3/23 afternoon.,coronavirus.health.ny.gov 
NO.47157-47158,2020/3/23,NY,Greene,Greene County. NY reported 4 total cases by 3/23 afternoon.,coronavirus.health.ny.gov 
NO.47159,2020/3/23,NY,Herkimer,Herkimer County. NY reported 4 total cases by 3/23 afternoon.,coronavirus.health.ny.gov 
NO.47160,2020/3/23,NY,Jefferson,Jefferson County. NY reported 2 total cases by 3/23 afternoon.,coronavirus.health.ny.gov 
NO.47161,2020/3/23,NY,Livingston,Livingston County. NY reported 3 total cases by 3/23 afternoon.,coronavirus.health.ny.gov 
NO.47162-47164,2020/3/23,NY,Madison,Madison County. NY reported 4 total cases by 3/23 afternoon.,coronavirus.health.ny.gov 
NO.47165,2020/3/23,NY,Niagara,Niagara County. NY reported 10 total cases by 3/23 afternoon.,coronavirus.health.ny.gov 
NO.47166-47167,2020/3/23,NY,Oneida,Oneida County. NY reported 7 total cases by 3/23 afternoon.,coronavirus.health.ny.gov 
NO.47168-47169,2020/3/23,NY,Ontario,Ontario County. NY reported 6 total cases by 3/23 afternoon.,coronavirus.health.ny.gov 
NO.47170-47183,2020/3/23,NY,Putnam,Putnam County. NY reported 45 total cases by 3/23 afternoon.,coronavirus.health.ny.gov 
NO.47184-47192,2020/3/23,NY,Rensselaer,Rensselaer County. NY reported 29 total cases by 3/23 afternoon.,coronavirus.health.ny.gov 
NO.47193-47195,2020/3/23,DE,Kent,3 new cases was reported in Kent County. The total number of positive cases in DE is 87.,coronavirus.delaware.gov 
NO.47196-47209,2020/3/23,DE,New Castle,14 new cases was reported in New Castle County. The total number of positive cases in DE is 87.,coronavirus.delaware.gov 
NO.47210-47227,2020/3/23,NY,Saratoga,Saratoga County reported 53 total cases in this area by 3/23.,coronavirus.health.ny.gov 
NO.47228,2020/3/23,IN,Delaware,The third possible case was reported in Delaware County. a male above 60 and a resident of the city of Muncie.,www.thestarpress.com 
NO.47229-47240,2020/3/23,NY,Schenectady,Schenectady County reported 44 total cases in this area by 3/23.,coronavirus.health.ny.gov 
NO.47241-47242,2020/3/23,DE,Sussex,2 new cases was reported in Sussex County. The total number of positive cases in DE is 87.,coronavirus.delaware.gov 
NO.47243-47253,2020/3/23,NY,Sullivan,Sullivan County reported 23 total cases in this area by 3/23.,coronavirus.health.ny.gov 
NO.47254-47270,2020/3/23,NY,Ulster,Ulster County reported 35 total cases in this area by 3/23.,coronavirus.health.ny.gov 
NO.47271,2020/3/23,NY,Warren,Warren County reported 2 total cases in this area by 3/23.,coronavirus.health.ny.gov 
NO.47272-47273,2020/3/23,NY,Washington,Washington County reported 3 total cases in this area by 3/23.,coronavirus.health.ny.gov 
NO.47274-47276,2020/3/23,NY,Wayne,Wayne County reported 6 total cases in this area by 3/23.,coronavirus.health.ny.gov 
NO.47277-47278,2020/3/23,NY,Wyoming,Wyoming County reported 4 total cases in this area by 3/23.,coronavirus.health.ny.gov 
NO.47279,2020/3/23,WV,Kanawha,By 3/23 8 00 p.m. 20 cases were confirmed in WV. including 4 cases from Kanawha County.,dhhr.wv.gov 
NO.47280,2020/3/23,WA,Jefferson,WA State Jefferson County has in total 8 cases of CODIV-19 confirmed by 3/23. with 1 new cases added.,www.jeffersoncountypublichealth.org 
NO.47281-47283,2020/3/23,WV,Monongalia,By 3/23 8 00 p.m. 20 cases were confirmed in WV. including 5 cases from Monongalia County.,dhhr.wv.gov 
NO.47284-47287,2020/3/23,AK,Anchorage,3/23 Two of the new cases were reported in Anchorage. Alaska. bringing the total number of cases statewide to 36.,dhss.alaska.gov 
NO.47288-47289,2020/3/23,NY,Cayuga,Cayuga reported 2 cases by 3/23 night.,coronavirus.health.ny.gov 
NO.47290,2020/3/23,NY,St. Lawrence,St. Lawrence reported 1 case by 3/23 night.,coronavirus.health.ny.gov 
NO.47291-47295,2020/3/23,TX,Nueces,3/23 Corpus Christi confirmed 5 more positive cases.,www.kiiitv.com 
NO.47296,2020/3/23,NC,Harnett,NC State Harnett County has in total 9 cases of CODIV-19 confirmed by 3/23. with 1 new cases added.,www.ncdhhs.gov 
NO.47297,2020/3/23,NC,Johnston,Johnston County reported its 4th case on 3/23.,www.johnstonnc.com 
NO.47298-47306,2020/3/23,CA,Marin,As of 3/23. 47 cases have been reported in Marin County.,coronavirus.marinhhs.org 
NO.47307,2020/3/23,NC,Davidson,Davidson County reported its third case.,www.newsobserver.com 
NO.47308,2020/3/23,NC,Alamance,By 3/23. The Alamance County Health Department received notification of its 3rd positive case of coronavirus.,www.ncdhhs.gov 
NO.47309-47310,2020/3/23,NC,Nash,Nash County reports two new coronavirus cases. The total count is 3.,www.newsobserver.com 
NO.47311-47312,2020/3/23,NE,Washington,Washington County first two cases. A man and a woman in their 60 s who are Washington County residents. They recently traveled and are self-isolating at home.,www.3newsnow.com 
NO.47313,2020/3/23,NE,Madison,On Monday. March 23rd. Elkhorn Logan Valley Public Health Department was made aware of a positive COVID-19 case in our district. The person is a woman in her 30s with underlying medical conditions.,elvphd.org 
NO.47314-47316,2020/3/23,NE,Sarpy,Four new cases of COVID-19. the novel coronavirus. have been confirmed in Health Department s jurisdiction. bringing the total number of cases in the Department s jurisdiction to eight. Three of the individuals are Sarpy County residents and one resides in Cass County.,www.sarpycasshealthdepartment.org 
NO.47317,2020/3/23,NE,Cass,Four new cases of COVID-19. the novel coronavirus. have been confirmed in Health Department s jurisdiction. bringing the total number of cases in the Department s jurisdiction to eight. Three of the individuals are Sarpy County residents and one resides in Cass County.,www.sarpycasshealthdepartment.org 
NO.47318-47321,2020/3/23,NE,Douglas,Four cases in Douglas County.,www.3newsnow.com 
NO.47322-47327,2020/3/23,TX,Denton,Denton County Public Health reported Monday six more confirmed cases of the novel coronavirus in Denton County. bringing the total to 36 since March 15.,www.crosstimbersgazette.com 
NO.47328-47388,2020/3/23,NV,Clark,By 3/22. 212 cases were confirmed in Clark County. increased by 61 cases.,www.southernnevadahealthdistrict.org 
NO.47389,2020/3/23,KS,Sedgwick,Sedgwick County has its third coronavirus case.,www.ksn.com 
NO.47390,2020/3/23,TX,Ellis,Ellis County on 3/23 reports 6 confirmed positive case of the new coronavirus in total. There are two cases in Midlothian one in Ennis. Maypearl. Palmer and Waxahachie. respectively. One of the two people with COVID-19 in Midlothian is hospitalized.,www.nbcdfw.com 
NO.47391-47403,2020/3/23,TX,Fort Bend,Fort Bend County Health & Human Services reports 42 total cases of COVID-19 in a Fort Bend County residents that recently traveled abroad.,www.fbchealth.org 
NO.47404-47419,2020/3/23,NV,Washoe,3/23 Washoe County total 44 cases.,www.washoecounty.us 
NO.47420-47421,2020/3/23,TX,Ellis,Ellis County on 3/23 reports 6 confirmed positive case of the new coronavirus in total. There are two cases in Midlothian. one in Ennis. Maypearl. Palmer and Waxahachie. respectively. One of the two people with COVID-19 in Midlothian is hospitalized.,www.nbcdfw.com 
NO.47422,2020/3/23,TX,Collin,March 23. 2020 6 45 p.m. -- Collin County health officials report seven new cases of COVID-19 Monday evening. raising the county s total confirmed cases to 45  A woman in Allen. 39. who recently traveled within the U.S.. who has no underlying health conditions and is isolating at home.,www.dallasnews.com 
NO.47423,2020/3/23,TX,Collin,March 23. 2020 6 45 p.m. -- Collin County health officials report seven new cases of COVID-19 Monday evening. raising the county s total confirmed cases to 45  An Anna man. 27. who traveled recently within the U.S.. had no underlying health conditions and is self-isolating.,www.dallasnews.com 
NO.47424,2020/3/23,TX,Collin,March 23. 2020 6 45 p.m. -- Collin County health officials report seven new cases of COVID-19 Monday evening. raising the county s total confirmed cases to 45  A 29-year-old Dallas man isolating at home with no known underlying health conditions or recent travel.,www.dallasnews.com 
NO.47425,2020/3/23,TX,Collin,March 23. 2020 6 45 p.m. -- Collin County health officials report seven new cases of COVID-19 Monday evening. raising the county s total confirmed cases to 45  A 34-year-old McKinney woman who traveled internationally who is self-isolating with no underlying health conditions.,www.dallasnews.com 
NO.47426,2020/3/23,TX,Collin,March 23. 2020 6 45 p.m. -- Collin County health officials report seven new cases of COVID-19 Monday evening. raising the county s total confirmed cases to 45  A 43-year-old McKinney man who had no reported travel recently. no underlying health conditions. but has needed hospitalization.,www.dallasnews.com 
NO.47427,2020/3/23,TX,Collin,March 23. 2020 6 45 p.m. -- Collin County health officials report seven new cases of COVID-19 Monday evening. raising the county s total confirmed cases to 45  A woman in Plano. 26 years old. who had no reported travel outside the area recently had no know underlying health conditions who is isolating at home.,www.dallasnews.com 
NO.47428,2020/3/23,TX,Collin,March 23. 2020 6 45 p.m. -- Collin County health officials report seven new cases of COVID-19 Monday evening. raising the county s total confirmed cases to 45  A 46-year-old Plano man with no known travel outside of the county and no known underlying health conditions is currently isolating at home.,www.dallasnews.com 
NO.47429-47449,2020/3/23,MO,St. Louis,As of 3/23 5pm MO St. Louis County official updated that. St. Louis County total 90 cases.,stlouisco.com 
NO.47450-47453,2020/3/23,TX,McLennan,The Waco-McLennan County Public Health District reported the county s 17th case on Sunday and then reported three new cases Monday afternoon.,www.kwtx.com 
NO.47454-47459,2020/3/23,CA,Monterey,As of March 23. 2020. there have been 20 confirmed cases of COVID-19 among Monterey County residents. This includes  6 Travel-related. 5 Person-to-person transmission. 4 Community transmission. 5 Under investigation.,www.co.monterey.ca.us 
NO.47460-47461,2020/3/23,CA,Yolo,On 3/23. the 7th and 8th confirmed cases in Yolo County are both older adults. one with chronic health problems. Both acquired the illness through community transmission and are now at home isolating.,www.yolocounty.org 
NO.47462-47471,2020/3/23,NH,Rockingham,By 3/23. Rockingham County. NH reported 38 cases in total.,www.nh.gov 
NO.47472-47476,2020/3/23,NH,Grafton,By 3/23. Grafton County. NH reported 20 cases in total.,www.nh.gov 
NO.47477-47479,2020/3/23,NH,Hillsborough,By 3/23. Hillsborough County. NH reported 19 cases in total.,www.nh.gov 
NO.47480,2020/3/23,NH,Strafford,By 3/23. Strfford County. NH reported 4 cases in total.,www.nh.gov 
NO.47481,2020/3/23,NH,Carroll,By 3/23. Caroll County. NH reported 7 cases in total.,www.nh.gov 
NO.47482-47484,2020/3/23,NH,Berknap,By 3/23. Berknap County. NH reported 7 cases in total.,www.nh.gov 
NO.47485-47498,2020/3/23,NY,Erie,There are 101 total cases in Erie County by 3/23 night.,buffalonews.com 
NO.47499-47500,2020/3/23,WV,Harrison,Two cases of the novel coronavirus (COVID-19) were confirmed in Harrison County on Monday evening. according to a county public health official. The two cases are unrelated. and both appear to be related to travel. although the investigations are in the early stages. according to Harrison-Clarksburg Health Department Administrator Chad Bundy.,www.wvnews.com 
NO.47501-47502,2020/3/23,NC,Cabarrus,Cabarrus County now has 10 cases of COVID-19. according to the Cabarrus Health Alliance. That is up from six reported cases on Saturday and eight on Sunday.,www.independenttribune.com 
NO.47503-47509,2020/3/23,CA,Fresno,The number of confirmed coronavirus cases in Fresno County jumped to 13 Monday following an evening update from the Department of Public Health.,www.yourcentralvalley.com 
